CountryOfCitizenship,EstWorthPrev,FinalWorth,Gender,Industries,PersonName,Rank,Source
India,3194.024401,3198.95,M,Diversified,Niraj Bajaj,915,Diversified
India,3194.024401,3198.95,M,Diversified,Shekhar Bajaj,915,Diversified
Germany,3191.580297,3191.58,M,Technology,Harald Tschira,918,Software
Germany,3191.580297,3191.58,M,Technology,Udo Tschira,918,Software
United States,3188.049,3188.049,M,Fashion & Retail,Frank VanderSloot,920,"Nutrition, wellness products"
Italy,3181.349344,3181.349,F,Manufacturing,Isabella Seràgnoli,921,Packaging
China,3179.083371,3200.176,M,Technology,Wang Wenjing,914,Business software
Israel,3177.915,3177.915,M,Media & Entertainment,Arnon Milchan,923,Movie making
Singapore,3177.637813,3177.638,M,Diversified,Kwek Leng Beng,925,Diversified
United States,3175.426231,3175.295,M,Finance & Investments,Ron Burkle,926,"Supermarkets, investments"
Italy,3173.417352,3226.147,M,Fashion & Retail,Brunello Cucinelli & family,906,Fashion
Germany,3168.215194,3319.557,M,Service,Klaus-Peter Schulenberg,880,Ticketing service
United States,3163.6739,3163.431,M,Finance & Investments,Warren Stephens,928,Investment banking
Indonesia,3163.362413,3165.125,M,Diversified,Sukanto Tanoto,927,Diversified
Hong Kong,3158.439898,3158.44,F,Real Estate,Rita Tong Liu,929,Real estate 
Mexico,3158.194127,3140.287,M,Metals & Mining,Rufino Vigil Gonzalez,935,Steel
Canada,3157.44756,3148.669,M,Finance & Investments,Ryan Cohen,934,Investments
Chile,3154.285144,3101.127,M,Fashion & Retail,Horst Paulmann & family,952,Retail
China,3153.799066,3323.677,M,Manufacturing,Ruan Hongliang,878,Glass
Italy,3153.110375,3153.11,M,Fashion & Retail,Renzo Rosso & family,931,Fashion
United States,3151.5,3151.5,M,Fashion & Retail,Todd Christopher,932,Hair care products
United States,3149.849,3149.849,M,Technology,Brian Acton,933,WhatsApp
Indonesia,3149.731615,3121.315,M,Manufacturing,Martua Sitorus,945,Palm oil
United States,3134.2778,3130.625,M,Sports,Robert Johnson,939,"Johnson & Johnson, New York Jets"
China,3126.065114,3115.0,M,Technology,Huang Li,946,Imaging systems
Russia,3125.124736,3125.125,M,Finance & Investments,Sergei Popov,941,Banking
Sweden,3125.12,3125.12,M,Service,Bertil Hult,942,Education 
United States,3121.4,3121.4,M,Real Estate,Jerry Speyer & family,944,Real estate
Mexico,3118.115217,3094.311,M,Manufacturing,Antonio Del Valle Ruiz & family,955,Chemicals
China,3113.531176,3124.222,M,Healthcare,Liangzhi Xie & family,943,Biotech 
India,3110.975638,3129.433,M,Media & Entertainment,Kalanithi Maran,940,Media
Russia,3110.933503,3110.934,M,Real Estate,God Nisanov,947,Real estate
Russia,3110.933503,3110.934,M,Real Estate,Zarakh Iliev,947,Real estate
India,3110.132796,3110.017,M,Construction & Engineering,Ravi Pillai,950,Construction
China,3109.759335,3135.274,M,Logistics,Yang Shaopeng,937,Shipping
China,3107.622762,3081.639,M,Food & Beverage,Leng Youbin,959,Infant formula
Switzerland,3107.531167,3107.542,M,Finance & Investments,Martin Ebner,951,Investments
Norway,3100.633256,3342.012,M,Food & Beverage,Gustav Magnar Witzoe,872,Fish farming
India,3098.089366,3044.698,M,Technology,Senapathy Gopalakrishnan,979,Software services
Hong Kong,3097.004916,3091.742,M,Manufacturing,Cho Tak Wong,956,Auto parts
China,3095.388813,3058.002,M,Healthcare,Wu Yiling,971,Pharmaceuticals
Mexico,3093.990731,3094.549,M,Diversified,Carlos Hank Rhon,954,Banking
United States,3091.4562,3080.996,M,Fashion & Retail,Drayton McLane Jr,960,"Walmart, logistics"
India,3090.885771,3064.872,M,Food & Beverage,Harsh Mariwala,967,Consumer goods
India,3089.909053,3156.04,M,Fashion & Retail,Rafique Malik,930,Footwear
China,3088.541115,3135.98,M,Real Estate,Hui Ka Yan,936,Real estate
United States,3087.988432,3087.988,M,Real Estate,Geoffrey Palmer,957,Real estate
Russia,3086.634476,3086.634,M,Construction & Engineering,Samvel Karapetyan,958,Real estate
Japan,3083.701063,3095.486,M,Fashion & Retail,Akio Nitori,953,home furnishings
Israel,3082.521886,3072.014,M,Technology,Michael Federmann & family,965,"Defense, hotels"
United States,3080.60602,3080.491,M,Real Estate,Richard LeFrak & family,961,Real estate
Italy,3080.046932,3075.542,F,Fashion & Retail,Giuliana Benetton,963,"Fashion retail, investments"
Italy,3079.73707,3075.232,M,Fashion & Retail,Luciano Benetton,964,"Fashion retail, investments"
Australia,3078.668735,3079.132,M,Logistics,Lindsay Fox,962,"Logistics, real estate"
United Kingdom,3063.142628,3063.143,M,Diversified,Farhad Moshiri,968,Diversified 
Australia,3062.941682,3060.722,M,Real Estate,John Gandel,969,Shopping malls
China,3060.430885,3066.469,M,Diversified,Xiao Yongming & family,966,Fertilizer
United States,3060.07476,3052.886,M,Food & Beverage,Bennett Dorrance,972,Campbell Soup
Canada,3059.088291,3059.088,M,Fashion & Retail,Jean Coutu & family,970,Drugstores
China,3058.86548,2982.659,M,Finance & Investments,Hua Li,1005,Financial services
Greece,3057.800233,3022.521,M,Metals & Mining,Aristotelis Mistakidis,983,"Mining, commodities"
United States,3056.497132,3049.031,M,Food & Beverage,Robert Sands,975,Liquor
Russia,3051.507509,3051.508,M,Metals & Mining,Igor Altushkin,973,Metals
Germany,3049.897426,3049.897,F,Media & Entertainment,Friede Springer,974,Publishing
United States,3045.396,3045.396,M,Food & Beverage,Andrew Cherng,977,Fast food
United States,3045.396,3045.396,F,Food & Beverage,Peggy Cherng,977,Fast food
United States,3033.650967,3019.52,M,Food & Beverage,Rodney Sacks,984,Energy drinks
United States,3030.858104,3003.804,M,Healthcare,Leonard Schleifer,989,Pharmaceuticals
United States,3028.88465,3032.388,M,Finance & Investments,Pablo Legorreta,982,Investments
Belgium,3027.091676,3131.056,M,Automotive,Nicolas D'Ieteren,938,"Auto parts, distribution"
Germany,3018.484881,3018.485,M,Fashion & Retail,Friedrich Knapp,985,Fashion retail
Russia,3017.027139,3017.027,M,Energy,Mikhail Gutseriev,986,"Oil, coal, real estate"
India,3011.168183,2991.663,M,Diversified,Adi Godrej,997,Consumer goods
India,3011.168183,2991.663,M,Diversified,Jamshyd Godrej,997,Diversified
India,3011.168183,2991.663,M,Diversified,Rishad Naoroji,997,Consumer goods
India,3011.168183,2991.663,F,Diversified,Smita Crishna-Godrej,997,Consumer goods
United States,3008.88721,2713.47,M,Technology,Bom Kim,1128,Online retailing
United States,3006.8,3006.8,M,Sports,Michael Jordan,987,"Charlotte Hornets, endorsements"
Germany,3002.760155,2989.122,F,Real Estate,Katharina Otto-Bernstein,1002,Real estate
South Korea,3000.656036,3002.785,M,Automotive,Euisun Chung,990,Hyundai
China,3000.097163,3000.92,M,Manufacturing,Chen Kaixuan,991,Household chemicals
United States,3000.0,3000.0,M,Finance & Investments,Jeffrey Talpins,992,Hedge fund
United States,2999.8,2999.8,M,Media & Entertainment,Haim Saban,993,"TV network, investments"
United States,2999.7,2999.7,M,Diversified,James Duff,994,"Tires, diversified"
United States,2999.7,2999.7,M,Diversified,Thomas Duff,994,"Tires, diversified "
United States,2998.62741,2959.244,M,Technology,Sanjit Biswas,1014,Sensor systems
United States,2998.603099,3040.486,M,Technology,Michael Xie,981,Cybersecurity 
Italy,2995.696029,3040.872,M,Fashion & Retail,Remo Ruffini,980,Winter jackets
United States,2995.635838,2936.948,M,Finance & Investments,Rajiv Jain,1024,Finance
China,2994.4315,2812.585,M,Automotive,He Xiaopeng,1074,Electric vehicles
India,2993.825819,3110.207,M,Manufacturing,Salil Singhal,949,Agrochemicals
United States,2991.9456,2998.34,M,Fashion & Retail,John Paul DeJoria,996,"Hair products, tequila"
Hong Kong,2990.891694,2984.471,M,Real Estate,Or Wai Sheun,1003,Real estate
Brazil,2988.6616,2968.795,M,Food & Beverage,Joesley Batista,1009,Beef processing
Brazil,2988.6616,2968.795,M,Food & Beverage,Wesley Batista,1009,Beef packing
United States,2988.501259,2989.889,M,Media & Entertainment,Thomas Tull,1001,"Movies, investments"
Spain,2988.334217,2958.727,M,Metals & Mining,Daniel Mate,1016,"Mining, commodities"
Indonesia,2984.055933,2966.673,M,Diversified,Theodore Rachmat,1012,Diversified
Sweden,2982.240669,3047.051,M,Technology,Daniel Ek,976,Spotify
United States,2982.089,2983.14,M,Food & Beverage,William Wrigley Jr,1004,Chewing gum
United States,2980.4,2982.4,M,Real Estate,Edward DeBartolo Jr,1006,Shopping centers
China,2971.347794,2970.529,M,Diversified,Guangchang Guo,1007,Conglomerate
China,2970.42917,3004.493,M,Fashion & Retail,Zhou Jianping,988,Fashion retail
United States,2969.298447,2969.298,M,Real Estate,Charles Cohen,1008,Real estate
United States,2966.77619,2966.776,M,Real Estate,Richard Peery,1011,Real estate
United States,2966.73191,2935.623,F,Technology,Jayshree Ullal,1025,Computer networking
China,2960.0,2960.0,M,Finance & Investments,Zhang Lei,1013,Investments
Switzerland,2958.184738,2958.185,F,Technology,Eva Maria Bucher-Haefner,1017,"Software, investments"
United States,2953.61155,2959.114,M,Automotive,Willis Johnson,1015,Damaged cars
Germany,2947.964526,2947.965,M,Construction & Engineering,Otto Happel,1020,Engineering
Hong Kong,2940.873565,2915.312,M,Manufacturing,Patrick Lee,1032,Paper
Turkey,2940.067308,2873.526,M,Manufacturing,Ali Erdemoglu,1051,Carpet
United Kingdom,2940.0,2940.0,M,Sports,Bernard Ecclestone & family,1022,Formula One
New Zealand,2939.3,2939.3,M,Finance & Investments,Richard Chandler,1023,Investments
India,2935.212632,2915.669,M,Diversified,Nadir Godrej,1031,Consumer goods
United States,2926.675486,2926.675,M,Finance & Investments,Chris Larsen,1027,Cryptocurrency
United Kingdom,2925.706363,2925.706,M,Telecom,John Caudwell,1028,Mobile phones
Singapore,2924.458219,2914.263,M,Manufacturing,Kuok Khoon Hong,1033,Palm oil
Switzerland,2924.371431,2878.245,M,Finance & Investments,Matthias Reinhart,1045,Financial services
Taiwan,2921.23952,2901.179,M,Real Estate,Lin Chen-hai,1036,Real estate
India,2920.821761,2950.531,M,Manufacturing,Madhukar Parekh,1019,Adhesives
United Kingdom,2918.151519,2918.152,M,Gambling & Casinos,John Coates,1030,Online gambling
India,2915.52414,2922.75,M,Manufacturing,Yadu Hari Dalmia & family,1029,Cement
United States,2913.5852,2913.546,M,Finance & Investments,Stewart Horejsi & family,1034,Berkshire Hathaway
Malaysia,2913.551441,2901.349,M,Real Estate,Lee Yeow Chor,1035,"Palm oil, property"
United States,2905.1114,2867.247,M,Technology,John Bicket,1052,Sensor systems
Hong Kong,2903.896342,2888.443,M,Energy,Ronald McAulay,1043,Energy 
Turkey,2902.66392,2874.223,F,Diversified,Semahat Sevim Arsel,1049,Diversified
China,2899.332189,2750.24,M,Technology,Zhao Lixin,1112,Electronics
India,2895.0,2895.0,M,Finance & Investments,Karthik Sarma,1038,Hedge fund
Taiwan,2892.887584,2892.888,M,Fashion & Retail,Lin Ming-hsiung,1039,Supermarkets
Japan,2892.248903,2951.971,M,Technology,Yuji Otsuka,1018,"Copy machines, software"
United States,2889.9548,2890.138,M,Food & Beverage,C. Dean Metropoulos,1040,Investments
China,2889.899246,2859.711,M,Fashion & Retail,Guanghe Qiu & family,1055,Fashion retail
Spain,2889.852548,2889.853,M,Fashion & Retail,Isak Andic & family,1041,Fashion retail
United States,2881.07513,2876.41,F,Technology,Meg Whitman,1047,EBay
United States,2877.0,2877.0,M,Finance & Investments,Daniel Sundheim,1046,Hedge funds
China,2867.095303,2777.62,M,Automotive,Dong Jinggui,1095,Electric scooters
Canada,2866.203965,2882.298,M,Finance & Investments,Bruce Flatt,1044,Money management
United States,2864.0,2864.0,M,Finance & Investments,Glenn Dubin,1053,Hedge funds
Germany,2863.553799,2863.554,M,Fashion & Retail,Erwin Franz Mueller,1054,Drugstores
United States,2860.124756,2842.365,M,Energy,Ray Davis,1062,Pipelines
China,2855.510829,2836.597,M,Diversified,Zuowen Song,1064,"Aluminum, diversified"
United Kingdom,2853.886165,2859.097,M,Diversified,Richard Branson,1056,Virgin
China,2851.209444,2873.722,M,Manufacturing,Zhang Hejun,1050,Electronics
United States,2851.12376,2895.79,M,Technology,Evan Spiegel,1037,Snapchat
Germany,2850.731916,2850.732,F,Healthcare,Gudrun Heine,1059,Medical devices
Germany,2850.731916,2850.732,F,Healthcare,Sybill Storz,1059,Medical devices
Canada,2849.783069,2792.126,M,Technology,Serge Godin,1087,Information technology
China,2848.535003,2828.968,M,Media & Entertainment,Cheng Yixiao,1066,Video streaming app
Switzerland,2844.359857,2874.919,F,Healthcare,Maja Oeri,1048,Pharmaceuticals
Italy,2843.886796,2856.072,F,Manufacturing,Susan Carol Holland,1058,Hearing aids
India,2843.159711,2943.534,M,Manufacturing,Satyanarayan Nuwal,1021,Industrial explosives
China,2841.784489,2856.122,M,Healthcare,Hu Baifan,1057,Pharmaceuticals
China,2841.455045,2841.455,M,Fashion & Retail,Zhang Wenzhong,1063,Supermarkets
Turkey,2835.872791,2808.603,F,Diversified,Ipek Kirac,1080,Diversified
United States,2831.95,2835.4,M,Finance & Investments,J. Tomilson Hill,1065,Investments
United States,2825.326,2825.326,F,Fashion & Retail,Eleanor Butt Crook & family,1067,Supermarkets
Greece,2823.3,2823.3,M,Diversified,Philip Niarchos,1069,Art collection
India,2822.219,2822.219,M,Service,Sunny Varkey,1070,Education
Germany,2821.88268,2821.883,M,Fashion & Retail,Benjamin Otto,1071,Retail
Hong Kong,2818.431814,2798.18,F,Real Estate,Chan Tan Ching-fen,1085,Real estate
India,2817.277092,2779.515,M,Technology,Nandan Nilekani,1094,Software services
United States,2815.89046,2815.904,M,Real Estate,George Argyros & family,1073,"Real estate, investments"
China,2813.205,2791.936,M,Real Estate,Ji Qi,1088,"Hotels, motels "
United States,2809.04212,2809.105,M,Technology,Sean Parker,1079,Facebook
Hong Kong,2803.708439,2803.708,M,Logistics,Tung Chee Hwa,1082,Shipping
United States,2803.167045,2820.905,M,Finance & Investments,J. Hyatt Brown,1072,Insurance
Germany,2802.649856,2802.65,M,Technology,Sebastian Glaser,1083,Sensor technology
Japan,2802.375574,2811.64,M,Manufacturing,Shigenobu Nagamori,1075,motors
United States,2801.9919,2800.476,F,Media & Entertainment,Oprah Winfrey,1084,TV shows
United States,2795.6568,2792.658,M,Healthcare,Wayne Rothbaum,1086,Biotech investing
United States,2792.27418,2766.386,M,Sports,Vincent McMahon,1102,Entertainment
China,2785.861359,2785.861,M,Food & Beverage,Wu Shaoxun,1091,Wine
China,2784.270693,2658.688,M,Manufacturing,Xinghai Zhang & family,1155,Machinery
China,2783.707755,2771.741,F,Fashion & Retail,Fan Daidi,1096,Skincare
United States,2783.61498,2783.305,M,Sports,Theodore Leonsis,1092,Sports teams
Switzerland,2781.389536,2811.135,M,Finance & Investments,Alfred Gantner,1076,Private equity
Switzerland,2781.389536,2811.135,M,Finance & Investments,Marcel Erni,1076,Private equity
Switzerland,2781.389536,2811.135,M,Finance & Investments,Urs Wietlisbach,1076,Private equity
United States,2781.0,2781.0,M,Finance & Investments,Leon G. Cooperman,1093,Hedge funds
China,2780.277634,2747.753,M,Healthcare,Cai Dongchen,1113,Pharmaceuticals
India,2777.274745,2807.118,M,Diversified,Harsh Goenka,1081,Diversified
Switzerland,2775.311785,2842.61,M,Manufacturing,Markus Blocher,1061,Chemicals
India,2775.167038,2824.853,M,Diversified,Sanjiv Goenka,1068,Diversified
China,2770.613827,2931.048,M,Manufacturing,Xu Jinfu & family,1026,Chemicals
Spain,2770.565232,2770.565,M,Service,Miguel Fluxa Rossello,1097,Hotels
United States,2767.976401,2767.192,M,Finance & Investments,Nicholas Pritzker,1100,"Hotels, investments"
United States,2767.473118,2764.835,M,Energy,Kamal Ghaffarian,1104,"Space, energy"
Spain,2767.292763,2768.378,M,Finance & Investments,Juan Abello,1098,Investments
Singapore,2766.48536,2765.219,M,Media & Entertainment,Forrest Li,1103,Gaming
China,2765.76403,2768.028,M,Healthcare,Kang An,1099,Pharmaceuticals
Sweden,2760.810317,2760.81,M,Diversified,Dan Olsson,1106,Diversified
France,2757.695908,2725.06,F,Healthcare,Anne Beaufour,1124,Pharmaceuticals 
France,2757.695908,2725.06,M,Healthcare,Henri Beaufour,1124,Pharmaceuticals 
China,2757.634142,2786.898,M,Manufacturing,Hong Jie,1090,Paint
United States,2756.0,2756.0,M,Finance & Investments,Felix Baker,1108,Biotech investing
United States,2755.0,2755.0,M,Finance & Investments,Julian Baker,1109,Investing
India,2754.920654,2754.921,M,Healthcare,Ranjan Pai,1110,"Education, healthcare"
United States,2753.449646,2759.823,M,Food & Beverage,Alejandro Santo Domingo,1107,Beer
India,2751.644824,2745.869,M,Finance & Investments,Harindarpal Banga,1114,Commodities 
United States,2751.402897,2738.74,M,Technology,Frank Slootman,1116,Software
India,2750.929912,2790.912,M,Manufacturing,Vivek Jain,1089,Chemicals
United States,2747.55487,2766.719,M,Technology,George Kurtz,1101,Security software
Australia,2740.628462,2752.266,M,Food & Beverage,Jack Cowin,1111,Fast food 
Chile,2740.338583,2740.339,M,Finance & Investments,Sebastian Piñera & family,1115,Investments
India,2739.018707,2697.824,F,Fashion & Retail,Falguni Nayar,1134,Retailing
United States,2738.90271,2761.987,M,Sports,Frank Fertitta III,1105,"Casinos, mixed martial arts"
Russia,2732.0,2732.0,M,Logistics,Alexander Skorobogatko,1118,"Real estate, airport"
Ireland,2728.449912,2728.682,M,Telecom,Denis O'Brien,1119,Telecom
United States,2720.25648,2725.833,M,Fashion & Retail,Bill Alfond,1121,Shoes
United States,2720.25648,2725.833,F,Fashion & Retail,Susan Alfond,1121,Shoes
United States,2720.25648,2725.833,M,Fashion & Retail,Ted Alfond,1121,Shoes
United States,2717.477419,2727.515,M,Technology,Aneel Bhusri,1120,Business software
China,2713.725824,2721.615,M,Metals & Mining,Feng Hailiang,1126,"Copper, education"
United States,2713.574494,2889.546,M,Finance & Investments,Justin Ishbia,1042,Private equity
United States,2712.066,2712.066,M,Service,Glen Taylor,1129,Printing
Japan,2707.584822,2664.621,M,Fashion & Retail,Hiroshi Mikitani,1152,online retail
United Kingdom,2705.694256,2705.694,F,Real Estate,Maritsa Lazari & family,1130,Real estate
Brazil,2702.468933,2702.469,M,Energy,Alceu Elias Feldmann & family,1132,Fertilizer
United States,2699.0,2699.0,M,Finance & Investments,John Pritzker,1133,"Hotels, investments"
Italy,2697.832164,2666.088,M,Metals & Mining,Paolo Rocca,1150,Pipe Manufacturing
Italy,2697.632181,2665.888,M,Metals & Mining,Gianfelice Rocca,1151,Pipe Manufacturing
United States,2694.623,2694.623,M,Media & Entertainment,Kenneth Feld & family,1135,Live entertainment
Kazakhstan,2693.0,2693.0,M,Metals & Mining,Bulat Utemuratov,1136,"Mining, banking, hotels"
